ID,_ID
URL,URL
OA,_OA
国家编码表,TLT_COUNTRY
城市表,TLT_CITY
国际化条目表,TLT_INTERNATIONAL_ITEM
数据字典表,TLT_DICTIONARIES
微信用户表,TPT_WEIXIN
字典条目表,TLT_DICTIONARIES_ITEM
国际化表,TLT_INTERNATIONAL
城市表,TBT_CITY
定时任务条目表,TST_SCHEDULE_ITEM
定时任务表,TST_SCHEDULE
文件注册表,TFT_FILE_REGISTRY
文件信息表,TFT_FILE_INFO
权限矩阵表,TPT_PERMISSION_MATRIX
访问控制表,TPT_CONTROL
账户控制表,TPT_ACCOUNT_CONTROL
移动应用用户表,TPT_MOBILE_USER
企业用户表,TPT_ENTERPRISE
外部用户表,TPT_EXTERNAL_USER
技能类别表,TPT_SKILL_TYPE
访问控制表,TPT_ACCESS_CONTROL
专业技能表,TPT_SKILL
域管理表,TPT_DOMAIN_MANAGER
组织表,TPT_ORGANIZATION
资源组表,TPT_RESOURCE
角色表,TPT_ROLE
权限表,TPT_PERMISSION
菜单表,TPT_MENU
导航表,TPT_NAVIGATION
用户表,TPT_USER
职员表,TPT_EMPLOY
路由表,TPT_ROUTER
样式表,TPT_STYLE
业务表,TPT_BUSINESS
账户表,TPT_ACCOUNT
证书表,TPT_CERTIFICATE
行业表,TPT_INDUSTRY
工作履历表,TSC_WORK_RESUME
教育履历表,TSC_EDUCATION_RESUME
项目履历表,TSC_PROJECT_RESUME
工作内容表,TSC_WORK_CONTENT
成绩描述表,TSC_ACHIEVEMENT_DESC
项目描述表,TSC_PROJECTS_DESC
项目职责表,TSC_PROJECTS_DUTY
项目业绩表,TSC_PROJECTS_ACHIEVEMENT
街道、社区、镇乡、村标识,_ADMINISTRATIVE_FLAG
单位建立的基层组织情况,_COMPANY_ORGAN
落实时间及具体进展情况,_WORKABLE_TIME_AND_PRO_SITUATION
政府部门建立党组织情况,_GOV_ORGAN
危险废物内部年综合利用,_DAN_LIU
建立党员服务机构标识,_PARTY_BUILD_FLAG
送持证单位综合利用量,_HCO
综合利用往年贮存量,_STORE
发展过程中存在问题,_PROBLEMS_COURSE
是否同步至步门领导,_IS_SYN_DEPT_LEADER
手续预计完成时间,_PREDICT_COMPLETE_TIME
一般工业固体废物,_NOMAL_LIQ
送持证单位处置量,_HCOC
工程技术研究中心,_TECHNICAL_CENTER
活动发布组织ID,_ORGAN_ID
确定为预备党员,_PRE_MEMBER
为园区内部培养,_INTERIOR
取得的审批文件,_OBTAIN_APPR_FILE
依法腾地告知书,_BY_LAW_LAND_NOTICE
来办事的最少次,_TODO
化学需氧量浓度,_REQOX
处置往年贮存量,_HAND_HI
下一步发展目标,_NEXT_GOAL
营业税金及附加,_AXES_SURCHARGES
研究与开发经费,_RD_EXPENDITURE
综合能源消费量,_COMPREHENSIVE
法人单位标识,_LEGAL_ORGAN_FLAG
开启在线测试,_ONLINE_TEST
流程步骤定义,_STEP_DEFINE
确定发展对象,_DEV_OBJECT
确定积极份子,_RUSTLER
确定正式党员,_ON_PARTY
审批步骤定义,_STEP_DEFINE
预备党员轨迹,_PRE_TRAIL
预备党员培养,_PRE_TRAIN
监督投诉电话,_SUPERVISE_COMPLAIN_PHONE
涉及财务往来,_FINANCIAL
计划投资金额,_PLAN_FINANCING
污水处理厂的,_WAT_FO
设施处理能力,_HAN_DEV
设施运行能力,_RUN_DEV
设施运行费用,_COST
废气治理设施,_LIQ_ADEV
废水六价总铬,_LIQ_WT6GE
工业固体废物,_LIQP
处置往年贮存,_HANS
一般废物贮存,_NOMS
取回用地红线,_GET_GROUND_WARN
腾地工作进展,_MOVE_LAND_WORK_PROGRESS
依法腾地指示,_BY_LAW_LAND_DIRECTION
执法证件名称,_CERTIFICATE
倾倒丢弃量,_DISCARD
废水六价铬,_LIQ_W6GE
不合格表现,_UNQUALIFIED
目标党组织,_TARGET_PARTY_ORGANIZATION
入党志愿书,_JOIN_REQUISITION
学位或职称,_DEGREE
非核心资料,_NON_CORE_DATA
内容及项目,_CONTENT
年正常生产,_NORMAL_PRO
污水处理厂,_DIRTY_FAC
石油类浓度,_OIL_MOL
废水处理量,_DIR_HAN
废水排放量,_DIR_OUT
废气六价铬,_LIQ_SGE
脱硫副产物,_DESUL
主要脱硫剂,_MAIN_DS
主要脱硝剂,_MAIN_DN
综合利用量,_MULU
累计贮存量,_ALL_STORE
化学需氧量,_KEMI_NUM
已取回红线,_GOT_RED_LINE
法定代表人,_LEGAL_REPRESENTATIVE
施工许可证,_BUILDER_LICENCE
应交增值税,_PAID_VAT
中高级职称,_SENIOR_TITLES
一般废物,_NOMH
产生情况,_OCC
产生情况1,_OCC1
产生情况2,_OCC2
本年实际1,_AC1
本年实际2,_AC2
本年实际,_AC
绑定链接,_BIND_URL
参与人数,_JOIN_NUMBER
出生日期,_BIRTHDAY
待办事项,_TODO
电子邮箱,_EMAIL
该届届满,_BECOME_DUE
改进建议,_SUGGESTION
工作单位,_WORK_UNIT
集体当选,_ON
流程实例,_PROCESS_INST
企业规模,_COMPANY_SCALE
启停记录,_ED_RECORD
是否置顶,_IS_TOP
属性行业,_INDUSTRY
所在位置,_LOCATION
通知公告,_NOTICE
违纪行为,_DISCIPLINARY_OFFENCE
无形资产,_IA
用地面积,_GROUND
源党组织,_SOURCE_PARTY_ORGANIZATION
政治面貌,_POLITICAL_STATUS
流程变量,_PROCESS_VARIABLE
阶段链接,_PHASE_URL
实施机关,_ENFORCEMENT_OFFICE
法定依据,_LAW_ACCORDING
申报条件,_DECLARE_CONDITION
核心资料,_CORE_DATA
预计签订,_PRE_SIGN
交地时间,_LAND_TRANSFER
开工时间,_START_WORK
投产时间,_INTO_OPERATION
审批流水,_APPROVAL
处罚通知,_NOTICE_PUNISH
是否整改,_IS_RECTIFICATION
重复用水,_RECYCW
废水治理,_LIQUIDW
治理设施,_GODEV
氯氮浓度,_CLN_MOL
化学需氧,_REQ_OX
氨氮浓度,_NHN_MOL
氮氧化物,_NOXIDE
二氧化硫,_SO2
废水总铬,_LIQ_WTGE
工业用水,_IND_WAT
消耗情况,_SI
危险废物,_DAN_LIQ
送外单位,_SEND_UO
处置能力,_HAND_AB
用地性质,_GROUND_NATURE
动迁人口,_MOVE_PERSON_NUMBER
用地红线,_GROUND_WARN
外业调查,_FIELDWORK_INVESTIGATION
取回用地,_GET_GROUND
专户存蓄,_SPECIAL_ACCOUNT
国土谈话,_COUNTRY_LAND_TALK
立案呈批,_PUT_RECORD_UP
陈述申辩,_STATEMENT_JUSTIFY
司法腾地,_JUDICIAL_MOVE_LAND
现任职务,_INCUMBENT_POST
是否挂靠,_IS_ANCHORED
高新技术,_HIGH_TECH
驰名商标,_FAMOUS_TRADEMARK
拥有专利,_OWN_PATENT
绿化面积,_GREEN_SPACE
累计已付,_TOTAL_PAY
社会信用,_CREDIT
财评依据,_ACCORDING_TO
地下通道,_UNDERGROUND
通道中部,_PASSAGE
验收备案,_PUT_ON_FILE
发明专利,_INVENTION_PATENT
申请专利,_PATENT_APPLI
工程技术,_ENGINEERING
研究中心,_RESEARCH_CEN
技术中心,_TECHNOLOGY_CEN
本地用工,_LOCAL_EMPLOYMENT
大专以下,_BELOW_COLLEGE
电力消费,_ELECTRI_COST
万千瓦时,_KWH
管理人员,_MANAGER
研发人员,_RESEARCH_DEV
环保监管,_EVN_SUPER
引用数量,_REFERENCE_QUANTITY
原文件名,_ORIGINAL_FILE 
定时任务,_SCHEDULE
移动应用,_MOBILEAPP
户籍地址,_REGISTER_ADDRESS
居住地址,_LIVE_ADDRESS
暂住地址,_STAY_ADDRESS
1年以内,_Y0TO1
5年以上,_Y5TO
1至2年,_Y1TO2
2至3年,_Y2TO3
3至4年,_Y3TO4
4至5年,_Y4TO5
接线井,_CONNECTION_WELL
路灯杆,_LAMPPOST
百分比,_PERCENT
报送人,_SUBMITTED_PERSON
必要件,_REQUIER_ATTACH
表达式,_EXPRESSION
测试题,_TEST_PAPER
抄送人,_CC_MAN
超链接,_HYPERLINK
创建人,_CREATOR
党组织,_PARTY_ORGAN
发布人,_PUBLISHER
发起人,_SPONSER
负责人,_LEADER
会议室,_MEETING_ROOM
计数器,_COUNTER
居住地,_DOMICILE
流出方,_OUTFLOW
流入方,_INFLOW
流水号,_SERIAL_NUMBER
身份证,_IDENTITY_CARD
审核人,_REVIEWER
审批人,_APPROVER
十二月,_DECEM
十一月,_NOV
缩略图,_THUMBNAIL_CHART 
选要件,_OPTION_ATTACH
已处理,_DISPOSE
已执行,_EXECUTED
英文名,_ENGLISH_NAME
优先级,_PRIORITY
债权方,_CREDR
债务方,_DEBT
重要性,_IMPORTANCE
主送人,_LORD_SEND
自定义,_USERDEFINED
签约方,_SIGN
营业额,_TURNOVER
通知单,_LETTER_OF_NOTICE
检出限,_DETEC_LIMIT
工业源,_INDUSTRIAL_SOURCE
设施数,_DEVICE_NUM
排放量,_OUT
产生量,_PRO_NUM
废气铅,_LIQ_APB
废气汞,_LIQ_AHG
废气铬,_LIQ_AGE
废气镉,_LIQ_ACD
废气砷,_LIQ_AAS
废水铅,_LIQ_WPB
废水汞,_LIQ_WHG
废水铬,_LIQ_WGE
废水镉,_LIQ_WCD
废水砷,_LIQ_WAS
烟粉尘,_SMOKE_DUST
无组织,_NO_ORG
石油类,_OIL_TYPE
生产量,_PRO_CO
氰化物,_CYAN
处置量,_HAND
贮存量,_STORE
总产值,_ALL_VAL
经开区,_ECO_DEV_ZONE
拆房栋,_PULL_DOWN_HOUSE
房屋栋,_HOUSE
告知书,_NOTICE
催告书,_URGE_NOTICE
动员会,_MOBILIZE_MEET
规划局,_PLAN_UNIT
研究生,_MASTER
污染物,_POLLUTANT
接收员,_RECEIVER
工作项,_WORK_ITEM
客户端,_CLIENT
国际化,_INTERNATIONAL
表空间,_TABLE_SPACE
10月,_OCT
11月,_NOV
12月,_DECEM
头像,_AVATAR
退场,_EXIT
形象,_IMAGE
重点,_KEY_POINT
手续,_PROCEDURES
资质,_CERTIFICATE
法人,_LEGAL_PERSON
经营,_MANAGE
注册,_REGISTER
网址,_URL
币种,_CURRENCY
初审,_FIRST_TRIAL
审定,_FINAL_JUDGMENT
工程,_WORK
规划,_PLAN
执照,_LICENCE
道路,_ROAD
长度,_LENGTH
宽度,_WIDTH
桥梁,_BRIDGE
结构,_STRUCTURE
管线,_LINE_PIPE
决算,FINAL_ACCOUNTS
对方,_PARTNER
身份,_IDENTITY
我方,_OUR
付款,_PAYMENT
合同,_CONTRACT
上报,_REPORT
占比,_PROPORTION
责任,_DUTY
立项,_SET_UP
第一,_FIRST
第二,_SECOND
批文,_CERTIFICATE
税收,_TAX
产值,_OUTPUT
资金,_FINANCING
预计,_PREDICT
下一,_NEXT
八月,_AUG
版本,_VERSION
办理,_OPERAT
报表,_REPORT
备注,_REMARKS
本年,_YEAR
本月,_MONTH
毕业,_GRADUATION
编号,_NO
编码,_CODE
标记,_FLAG
标签,_LABLE
标识,_ID
标题,_TITLE
标志,_FLAG
标准,_CRITERION
步骤,_STEP
部门,_DEPARTMENT
材料,_MATERIAL
采集,_COLLECT
菜单,_MENU
菜品,_CANTEEN
参加,_JOIN
参数,_PARAM
操作,_OPERAT
策略,_TACTICS
层级,_LEVEL
查看,_SEE
差额,_DIFFE
产品,_PRODUCT
称谓,_APPELLATION
成功,_SUCCESS
成立,_FOUND
成员,_MEMBER
城市,_CITY
程度,_LEVEL
出差,_BUSINESS_TRIP
出错,_ERROR
出党,_OUT_PARTY
出勤,_ATTENDANCE
出生,_BIRTH
处理,_ASSIGNER
处室,_ROOM
触点,_TOUCH_POINT
触发,_TRIGGER
创建,_CREATE
存档,_FILE
存放,_STORE
错误,_ERROR
打卡,_PUNCH_CLOCK
大小,_SIZE
代码,_CODE
贷方,_CREDIT
单位,_ORGAN
当前,_CURRENT
档案,_ARCHIVES
党费,_DUES
党员,_PARTY_MEMBER
导入,_IMPORT
到达,_ARRIVE
得分,_SCORE
登录,_LOGIN
地点,_ADDRESS
地区,_AREA
地址,_ADDRESS
电话,_PHONE
对象,_OBJ
对账,_RECONCILIATION
二级,_SECOND_CLASS
二月,_FEB
发布,_RELEASE
发件,_SEND
发生,_HAPPEN
发文,_DISPATCH
范围,_RANGE
方案,_PLAN
方式,_MODE
访问,_ACCESS
费用,_COST
分类,_CATEGORY
分值,_SCORE
份数,_COPIES
服务,_SERVICE
父级,_PARENT
负责,_IN_CHARGE
附件,_ATTACHMENT
岗位,_POST
梗概,_OUTLINES
更新,_UPDATE
工作,_WORK
公司,_COMPANY
公文,_OFFICIAL_DOCUMENT
功能,_FUNC
关联,_RELATION
关系,_RELAT
规则,_RULE
行业,_TRADE
行政,_ADMINI
号码,_NUMBER
互动,_INTERACT
回答,_REPLY
回复,_REPLY
回应,_RESPONSE
汇总,_TOTAL
会计,_ACCOUNTING
会议,_MEETING
活动,_CAMPAIGN
机构,_ORGAN
基本,_BASIC
基础,_BASE
级别,_LEVEL
籍贯,_NATIVE_PLACE
计划,_PLAN
计算,_CALCUL
计提,_ACCRUAL
记录,_RECORD
记账,_BOKP
纪要,_SUMMARY
技术,_TECHNOLOGY
家庭,_FAMILY
假期,_VACATION
检查,_CHECK
简称,_NAME
简介,_INTRODUCTION
简历,_RESUME
建设,_BUILD
健康,_HEALTHY
奖惩,_BONUS_PENALTY
交办,_TRANSFER
角色,_ROLE
缴纳,_PAY
教育,_EDUCATION
阶段,_STEP
接触,_TOUCH
接待,_RECEIVE
接口,_INTERFACE
节点,_ACTIVITY
结果,_RESULT
结束,_END
解决,_SOLVE
介绍,_CONTENT
借方,_DEBIT
金额,_AMOUNT
紧急,_URGENT
进度,_PROGRESS
经办,_HANDLE
经济,_ECONOMY
经历,_RESUME
九月,_SEPT
酒水,_DRINK
就餐,_DINNER
举办,_CONDUCT
开始,_START
开展,_DEVELOP
考核,_EXAMINE
考勤,_ATTENDANCE
科目,_SUBJECT
客户,_CUSTOMER
课程,_CLASS
口味,_TASTE
快报,_BULLETIN
扩展,_EXT
来宾,_GUEST
来文,_DOCUMENT_RECEIVED
来源,_SOURCE
栏目,_COLUMN
类别,_CATEGORY
类型,_TYPE
理由,_REASON
历史,_HISTORY
利润,_PROFIT
隶属,_UNDER
联系,_CONTACT
领导,_LEADER
留言,_LEAVE_MESSAGE
流程,_PROCESS
流出,_OUTFLOW
流动,_CHANGE
流量,_FLOW
流入,_INFLOW
流向,_DIRECTION
六月,_JUN
路径,_PATH
路由,_ROUTING
门户,_PORTAL
密级,_SECRET_LEVEL
密码,_PASSWORD
描述,_DESCR
民族,_NATION
名称,_NAME
模板,_TEMPLATE
默认,_DEFAULT
目标,_TARGET
目录,_DIRECTORY
内部,_INTERNAL
内容,_CONTENT
昵称,_NICKNAME
匿名,_ANONYMOUS
年度,_YEAR
年份,_YEAR
年末,_END_YEAR
年限,_YEARS
排序,_SORT
陪餐,_ACCOMPANY
培训,_TRAIN
培养,_TRAIN
批次,_BATCH
评分,_SCORE
评价,_ASSESS
评议,_APPRAISE
七月,_JUL
期间,_PERIOD
期望,_EXPECT
其他,_OTHER
企业,_COMPANY
启用,_ENABLE
情况,_SITUATION
请假,_LEAVE
区域,_AREA
渠道,_CHANNEL
取值,_VALUE
权限,_PERMISSION
权重,_WEIGHT
全称,_FULL_NAME
确认,_CONFIRM
人员,_PERSON
任免,_APPOINT_DISMISS
任务,_TASK
任职,_TAKE_UP
日程,_WORK_SCHEDULE
日期,_DATE
日志,_LOG
容纳,_ACCOMMODATE
入党,_JOIN_PARTY
三月,_MAR
删除,_DELETE
上传,_UPLOAD
上级,_SUPERIOR
设备,_DEVICE
申请,_APPLY
申请,_REQUEST
审查,_REVIEW
审核,_REVIEW
审批,_APPROVAL
生活,_LIFE
生日,_BIRTHDAY
生效,_ENABLE
剩余,_SURPLUS
失效,_DISABLE
十月,_OCT
时间,_TIME
实际,_ACTUAL
食谱,_RECIPES
事项,_ITEM
事由,_REASON
切块,_DICE
视频,_VIDEO
是否,_IS
收件,_CONSIGNEE
收文,_INCOMING
手机,_MOBILE
首写,_FIRST
受理,_ACCEPT
属地,_BASE
属性,_PROPERTIES
数据,_DATA
说明,_DESCR
四月,_APR
所属,_BELONG
所在,_LOCATION
摊销,_AMORTIZATION
特长,_SPECIALTY
提交,_SUBMIT
提醒,_REMIND
替代,_REPLACE
天气,_WEATHER
填报,_REPORTING
停用,_DISABLE
同步,_SYNC
投资,_INVEST
图标,_ICON
图表,_CHART
图片,_IMAGE
团队,_TEAM
外部,_EXTERNAL
外出,_EGRESS
完成,_COMPLETE
网盘,_DROPBOX
卫生,_HEALTH
位置,_SITE
温度,_TEMPRATURE
文档,_DOCUMENT
文号,_DOCUMENT_NUMBER
文件,_FILE
文章,_ARITCLE
文字,_TEXT
问题,_PROBLEM
五月,_MAY
午休,_LUNCH
系统,_SYSTEM
下单,_ORDER
显示,_VIEW
县城,_COUNTY_TOWN
现金,_CASH
现任,_INCUMBENT
相对,_RELATIVE
相关,_RELATED
详情,_DETAIL
项目,_PROJECT
消耗,_CONSUME
销售,_SALES
新闻,_NEWS
信息,_INFO
性别,_SEX
性质,_PROPERTY
姓名,_NAME
修改,_UPDATE
序号,_SORT_NUMBER
选项,_OPTIONS
学历,_EDUCATION
学时,_CLASS_HOUR
学位,_DEGREE
颜色,_COLOR
要求,_REQUIRE
业务,_BUSI
页数,_PAGINATION
一级,_FIRST_CLASS
一月,_JAN
意见,_OPINION
印刷,_PRINTING
营销,_MARKETING
应该,_MUST
用户,_USER
邮件,_EMAIL
邮箱,_MAIL
有效,_VALID
余额,_BALANCE
预备,_PRE
预算,_BUDGET
园区,_PARK
原因,_CAUSE
院校,_UNIVERSITIES_COLLEGES
月份,_MONTH
阅读,_READ
在党,_ON_PARTY
债权,_CREDR
债务,_DEBT
账号,_ACCOUNT_NUMBER
账户,_ACCOUNT
账龄,_AGING
照片,_PHOTO
正文,_TEXT
证明,_CERTIFY
证书,_CERTIFICATE
政策,_POLICY
只读,_READ_ONLY
执行,_EXECUTE
职称,_TECHNICAL_TITLE
职位,_TITLE
职务,_POST
职责,_RESPONSIBILITY
指标,_INDICATOR
置顶,_PUTTOP
置顶,_TOP
中介,_AGENCY
中心,_CENTER
周期,_CYCLE
主题,_TOPIC
住址,_ADDRESS
专业,_PROFESSION
转入,_IN
状况,_STATUS
状态,_STATUS
资源,_RESOURCES
自动,_AUTO
字段,_FIELD
字母,_LETTER
组织,_ORGAN
最高,_MAX
最后,_LAST
佐证,_EVIDENCE
作者,_AUTHOR
坐标,_INDEX
传阅,_CIRCULATION
浏览,_BROWSE
次数,_COUNT
轮播,_CAROUSEL
楼层,_FLOOR
期限,_EXPIRES
咨询,_CONSULTANT
办事,_TODO
指南,_GUIDE
承诺,_PROMISE
收费,_CHARGE
注意,_WARN
定义,_DEFINITION
群聊,_GROUP_CHAT
消息,_MESSAGE
发送,_SEND
接收,_RECEIVE
模块,_MODULE
链接,_LINK
印发,_ISSUED
监测,_MONITOR
采样,_SAMPLING
送检,_INSPECTION
分析,_ANALYSIS
签发,_ISSUE
处罚,_PUNISH
整改,_RECTIFICATION
通知,_NOTICE
使用,_USE
方法,_METHOD
仪器,_INSTRUMENT
最低,_LOWEST
限值,_LIMIT_VALUE
点位,_POINT
工业,_INDUSTRY
排入,_IN
氨氮,_NHN
废水,_LW
脱硫,_DS
除尘,_DD
废气,_LA
一般,_NOMAL
治理,_GOVE
脱硫,_DES
脱硝,_DEX
取水,_GW
挥发,_VOLA
征拆,_LAND_DOWN
面积,_AREA
概算,_PROBABILITY
资金,_MONEY
具体,_CONCRETE
街道,_STREET
交地,_HAND_LAND
启动,_LAUNCH
签约,_SIGN
调查,_INVESTIGATION
会审,_JOINT_TRIAL
需要,_NEED
放线,_THROW_LINE
拆迁,_REMOVE
取回,_RETRIEVAL
初步,_INITIAL
编制,_REGIME
拨付,_MAKE_PAYMENT
公告,_ANNOUNCE
征地,_LAND_ACQUISITION
土地,_LAND
征求,_SOLICIT
实施,_ACTION
三榜,_THREE_ROLL
补偿,_COMPENSATION
决定,_DECISION
到期,_EXPIRE
后期,_AFTER_DATE
